Üniversite Adı,Ders Adı,Ders Tanımı
dokuz eylül üniversitesi,yapay zeka,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
orta doğu teknik üniversitesi,veri tabanı yönetim sistemleri,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
istanbul teknik üniversitesi,web programlama,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
boğaziçi üniversitesi,veri tabanı yönetim sistemleri,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
hacettepe üniversitesi,siber güvenlik,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
sabancı üniversitesi,veri bilimi,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
hacettepe üniversitesi,makine ğrenmesi,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
sabancı üniversitesi,sistem programlama,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
marmara üniversitesi,dijital oyun programlama,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
marmara üniversitesi,veri bilimi,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
ankara üniversitesi,internet programcılığı,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
istanbul üniversitesi,bilgisayar mühendisliğine giriş,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
koç üniversitesi,siber güvenlik,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
hacettepe üniversitesi,makine ğrenmesi,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
istanbul teknik üniversitesi,nesne tabanlı programlama,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
istanbul üniversitesi,veri madenciliği,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
hacettepe üniversitesi,makine ğrenmesi,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
ankara üniversitesi,programlama dilleri,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
hacettepe üniversitesi,web programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
boğaziçi üniversitesi,makine ğrenmesi,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
istanbul teknik üniversitesi,makine ğrenmesi,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
yıldız teknik üniversitesi,sistem programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul üniversitesi,dijital oyun programlama,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
marmara üniversitesi,internet programcılığı,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
dokuz eylül üniversitesi,bilgisayar mühendisliğine giriş,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
orta doğu teknik üniversitesi,genel matematik,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
sabancı üniversitesi,nesne tabanlı programlama,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
boğaziçi üniversitesi,nesne tabanlı yazılım geliştirme,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
orta doğu teknik üniversitesi,nesne tabanlı programlama,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
marmara üniversitesi,dijital oyun programlama,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
orta doğu teknik üniversitesi,nesne tabanlı programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
dokuz eylül üniversitesi,yapay zeka,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
ankara üniversitesi,makine ğrenmesi,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
orta doğu teknik üniversitesi,veri bilimi,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
koç üniversitesi,içerik yönetim sistemleri,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
ankara üniversitesi,makine ğrenmesi,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
orta doğu teknik üniversitesi,sistem programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
boğaziçi üniversitesi,dijital oyun programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
dokuz eylül üniversitesi,kriptografi ve veri güvenliği,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
dokuz eylül üniversitesi,programlama dilleri,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
marmara üniversitesi,veri tabanı yönetim sistemleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
sabancı üniversitesi,web programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
ankara üniversitesi,mobil uygulama geliştirme,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
marmara üniversitesi,sistem programlama,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
sabancı üniversitesi,makine ğrenmesi,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
hacettepe üniversitesi,nesne tabanlı programlama,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
koç üniversitesi,veri madenciliği,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
orta doğu teknik üniversitesi,siber güvenlik,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
sabancı üniversitesi,mobil uygulama geliştirme,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
boğaziçi üniversitesi,veri tabanı yönetim sistemleri,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
istanbul üniversitesi,veri tabanı yönetim sistemleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
marmara üniversitesi,genel matematik,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
hacettepe üniversitesi,dijital oyun programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
sabancı üniversitesi,sistem programlama,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
ankara üniversitesi,bilgisayar mühendisliğine giriş,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
orta doğu teknik üniversitesi,kriptografi ve veri güvenliği,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
sabancı üniversitesi,yapay zeka,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
koç üniversitesi,bilgisayar mühendisliğine giriş,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
orta doğu teknik üniversitesi,veri madenciliği,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
hacettepe üniversitesi,dijital oyun programlama,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
sabancı üniversitesi,veri madenciliği,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
boğaziçi üniversitesi,bilgisayar mühendisliğine giriş,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
istanbul teknik üniversitesi,veritabanı sistemleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
hacettepe üniversitesi,web programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul teknik üniversitesi,dijital oyun programlama,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
hacettepe üniversitesi,makine ğrenmesi,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
sabancı üniversitesi,içerik yönetim sistemleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
marmara üniversitesi,dijital oyun programlama,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
orta doğu teknik üniversitesi,veri bilimi,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
marmara üniversitesi,veri madenciliği,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
marmara üniversitesi,programlama dilleri,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
dokuz eylül üniversitesi,web programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
istanbul üniversitesi,bilgisayar ağları,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
dokuz eylül üniversitesi,sistem programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
ankara üniversitesi,veritabanı sistemleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
yıldız teknik üniversitesi,nesne tabanlı programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
ankara üniversitesi,internet programcılığı,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
dokuz eylül üniversitesi,programlama dilleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
koç üniversitesi,yapay zeka,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
istanbul üniversitesi,bilgisayar ağları,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
dokuz eylül üniversitesi,makine ğrenmesi,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
marmara üniversitesi,veritabanı sistemleri,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
koç üniversitesi,programlama dilleri,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
ankara üniversitesi,sistem programlama,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
yıldız teknik üniversitesi,veri madenciliği,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
dokuz eylül üniversitesi,veritabanı sistemleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
yıldız teknik üniversitesi,dijital oyun programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
ankara üniversitesi,veritabanı sistemleri,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
hacettepe üniversitesi,içerik yönetim sistemleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
hacettepe üniversitesi,programlama dilleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
orta doğu teknik üniversitesi,nesne tabanlı programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
marmara üniversitesi,siber güvenlik,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
sabancı üniversitesi,web programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
hacettepe üniversitesi,veri tabanı yönetim sistemleri,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
koç üniversitesi,yapay zeka,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
yıldız teknik üniversitesi,programlama dilleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
boğaziçi üniversitesi,veritabanı sistemleri,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
hacettepe üniversitesi,web programlama,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
yıldız teknik üniversitesi,içerik yönetim sistemleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
istanbul teknik üniversitesi,veritabanı sistemleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
hacettepe üniversitesi,internet programcılığı,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
orta doğu teknik üniversitesi,makine ğrenmesi,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
yıldız teknik üniversitesi,genel matematik,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
sabancı üniversitesi,mobil uygulama geliştirme,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
sabancı üniversitesi,veri bilimi,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
koç üniversitesi,veri tabanı yönetim sistemleri,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
hacettepe üniversitesi,veri madenciliği,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
ankara üniversitesi,nesne tabanlı programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
dokuz eylül üniversitesi,internet programcılığı,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
orta doğu teknik üniversitesi,makine ğrenmesi,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
dokuz eylül üniversitesi,bilgisayar mühendisliğine giriş,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
marmara üniversitesi,kriptografi ve veri güvenliği,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
koç üniversitesi,genel matematik,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
orta doğu teknik üniversitesi,programlama dilleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
orta doğu teknik üniversitesi,sistem programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
koç üniversitesi,programlama dilleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
sabancı üniversitesi,dijital oyun programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
koç üniversitesi,bilgisayar mühendisliğine giriş,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
ankara üniversitesi,veri madenciliği,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
koç üniversitesi,sistem programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
dokuz eylül üniversitesi,bilgisayar mühendisliğine giriş,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
koç üniversitesi,programlama dilleri,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
istanbul teknik üniversitesi,içerik yönetim sistemleri,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
sabancı üniversitesi,mobil uygulama geliştirme,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
hacettepe üniversitesi,web programlama,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
boğaziçi üniversitesi,içerik yönetim sistemleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
istanbul teknik üniversitesi,programlama dilleri,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
marmara üniversitesi,kriptografi ve veri güvenliği,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
istanbul üniversitesi,veri tabanı yönetim sistemleri,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
istanbul üniversitesi,siber güvenlik,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
koç üniversitesi,mobil uygulama geliştirme,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
istanbul üniversitesi,nesne tabanlı programlama,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
boğaziçi üniversitesi,makine ğrenmesi,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
dokuz eylül üniversitesi,programlama dilleri,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
istanbul üniversitesi,makine ğrenmesi,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
orta doğu teknik üniversitesi,dijital oyun programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
marmara üniversitesi,yapay zeka,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
marmara üniversitesi,kriptografi ve veri güvenliği,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
istanbul üniversitesi,içerik yönetim sistemleri,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
orta doğu teknik üniversitesi,internet programcılığı,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
istanbul üniversitesi,siber güvenlik,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
ankara üniversitesi,nesne tabanlı programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
ankara üniversitesi,veri bilimi,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
istanbul üniversitesi,genel matematik,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
dokuz eylül üniversitesi,nesne tabanlı programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
sabancı üniversitesi,genel matematik,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
yıldız teknik üniversitesi,programlama dilleri,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
istanbul üniversitesi,nesne tabanlı programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
dokuz eylül üniversitesi,kriptografi ve veri güvenliği,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
yıldız teknik üniversitesi,nesne tabanlı yazılım geliştirme,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
marmara üniversitesi,programlama dilleri,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
istanbul üniversitesi,veri madenciliği,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
yıldız teknik üniversitesi,bilgisayar mühendisliğine giriş,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
yıldız teknik üniversitesi,dijital oyun programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
marmara üniversitesi,veri madenciliği,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
hacettepe üniversitesi,veri tabanı yönetim sistemleri,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul üniversitesi,dijital oyun programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
sabancı üniversitesi,genel matematik,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
istanbul üniversitesi,programlama dilleri,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
istanbul teknik üniversitesi,bilgisayar ağları,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
dokuz eylül üniversitesi,bilgisayar ağları,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
dokuz eylül üniversitesi,yapay zeka,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
istanbul üniversitesi,veri bilimi,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
yıldız teknik üniversitesi,programlama dilleri,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
sabancı üniversitesi,bilgisayar ağları,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
hacettepe üniversitesi,kriptografi ve veri güvenliği,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul teknik üniversitesi,mobil uygulama geliştirme,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
ankara üniversitesi,genel matematik,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
orta doğu teknik üniversitesi,kriptografi ve veri güvenliği,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul teknik üniversitesi,bilgisayar mühendisliğine giriş,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
istanbul teknik üniversitesi,kriptografi ve veri güvenliği,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
boğaziçi üniversitesi,mobil uygulama geliştirme,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
marmara üniversitesi,veritabanı sistemleri,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
ankara üniversitesi,veritabanı sistemleri,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
