Üniversite Adı,Ders Adı,Ders Tanımı
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Boğaziçi Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Hacettepe Üniversitesi,İnternet Programcılığı,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
İstanbul Üniversitesi,Genel Matematik,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Boğaziçi Üniversitesi,İnternet Programcılığı,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Yıldız Teknik Üniversitesi,Genel Matematik,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Yıldız Teknik Üniversitesi,Veri Madenciliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Ankara Üniversitesi,İnternet Programcılığı,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Boğaziçi Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
İstanbul Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Yıldız Teknik Üniversitesi,Siber Güvenlik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Sabancı Üniversitesi,Siber Güvenlik,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Koç Üniversitesi,Nesne Tabanlı Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Sabancı Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
İstanbul Üniversitesi,Veri Bilimi,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Ankara Üniversitesi,Sistem Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
İstanbul Üniversitesi,Kriptografi Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Koç Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Dokuz Eylül Üniversitesi,Veritabanı Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Koç Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
İstanbul Teknik Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
İstanbul Üniversitesi,Veritabanı Sistemleri,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Marmara Üniversitesi,Siber Güvenlik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Dokuz Eylül Üniversitesi,Yapay Zeka,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
İstanbul Teknik Üniversitesi,Web Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Hacettepe Üniversitesi,Siber Güvenlik,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Sabancı Üniversitesi,Veri Bilimi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Sabancı Üniversitesi,Sistem Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Marmara Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Marmara Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Ankara Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
İstanbul Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Koç Üniversitesi,Siber Güvenlik,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
İstanbul Üniversitesi,Veri Madenciliği,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Hacettepe Üniversitesi,Makine Ãğrenmesi,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Ankara Üniversitesi,Programlama Dilleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Hacettepe Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
İstanbul Teknik Üniversitesi,Makine Ãğrenmesi,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Yıldız Teknik Üniversitesi,Sistem Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
İstanbul Üniversitesi,Dijital Oyun Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Marmara Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Orta Doğu Teknik Üniversitesi,Genel Matematik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Boğaziçi Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Marmara Üniversitesi,Dijital Oyun Programlama,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Dokuz Eylül Üniversitesi,Yapay Zeka,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Ankara Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Koç Üniversitesi,İçerik Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Ankara Üniversitesi,Makine Ãğrenmesi,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Dokuz Eylül Üniversitesi,Kriptografi Veri Güvenliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Sabancı Üniversitesi,Web Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Marmara Üniversitesi,Sistem Programlama,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Sabancı Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Koç Üniversitesi,Veri Madenciliği,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Marmara Üniversitesi,Genel Matematik,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Sabancı Üniversitesi,Sistem Programlama,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Orta Doğu Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Sabancı Üniversitesi,Yapay Zeka,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Sabancı Üniversitesi,Veri Madenciliği,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
İstanbul Teknik Üniversitesi,Veritabanı Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Hacettepe Üniversitesi,Web Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Sabancı Üniversitesi,İçerik Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Marmara Üniversitesi,Dijital Oyun Programlama,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Marmara Üniversitesi,Veri Madenciliği,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Marmara Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Dokuz Eylül Üniversitesi,Web Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
İstanbul Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Dokuz Eylül Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Ankara Üniversitesi,Veritabanı Sistemleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Yıldız Teknik Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Ankara Üniversitesi,İnternet Programcılığı,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Koç Üniversitesi,Yapay Zeka,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
İstanbul Üniversitesi,Bilgisayar Ağları,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Dokuz Eylül Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Marmara Üniversitesi,Veritabanı Sistemleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Koç Üniversitesi,Programlama Dilleri,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Ankara Üniversitesi,Sistem Programlama,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Yıldız Teknik Üniversitesi,Veri Madenciliği,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Dokuz Eylül Üniversitesi,Veritabanı Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Hacettepe Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Ankara Üniversitesi,Veritabanı Sistemleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Hacettepe Üniversitesi,İçerik Yönetim Sistemleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Hacettepe Üniversitesi,Programlama Dilleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Marmara Üniversitesi,Siber Güvenlik,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Sabancı Üniversitesi,Web Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Hacettepe Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Koç Üniversitesi,Yapay Zeka,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Boğaziçi Üniversitesi,Veritabanı Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Hacettepe Üniversitesi,Web Programlama,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Yıldız Teknik Üniversitesi,İçerik Yönetim Sistemleri,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
İstanbul Teknik Üniversitesi,Veritabanı Sistemleri,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Hacettepe Üniversitesi,İnternet Programcılığı,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Yıldız Teknik Üniversitesi,Genel Matematik,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Sabancı Üniversitesi,Veri Bilimi,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Koç Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Hacettepe Üniversitesi,Veri Madenciliği,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Ankara Üniversitesi,Nesne Tabanlı Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Dokuz Eylül Üniversitesi,İnternet Programcılığı,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Marmara Üniversitesi,Kriptografi Veri Güvenliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Koç Üniversitesi,Genel Matematik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Koç Üniversitesi,Programlama Dilleri,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Sabancı Üniversitesi,Dijital Oyun Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Ankara Üniversitesi,Veri Madenciliği,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Koç Üniversitesi,Sistem Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Koç Üniversitesi,Programlama Dilleri,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Hacettepe Üniversitesi,Web Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Teknik Üniversitesi,Programlama Dilleri,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Marmara Üniversitesi,Kriptografi Veri Güvenliği,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
İstanbul Üniversitesi,Siber Güvenlik,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
İstanbul Üniversitesi,Makine Ãğrenmesi,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Orta Doğu Teknik Üniversitesi,Dijital Oyun Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Marmara Üniversitesi,Yapay Zeka,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Marmara Üniversitesi,Kriptografi Veri Güvenliği,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
İstanbul Üniversitesi,İçerik Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
İstanbul Üniversitesi,Siber Güvenlik,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Ankara Üniversitesi,Nesne Tabanlı Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Ankara Üniversitesi,Veri Bilimi,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
İstanbul Üniversitesi,Genel Matematik,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Sabancı Üniversitesi,Genel Matematik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
