Üniversite Adı,Ders Adı,Ders Tanımı,stemmed_text
Hacettepe Üniversitesi,Web Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Yıldız Teknik Üniversitesi,Veritabanı Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Yıldız Teknik Üniversitesi,Sistem Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Boğaziçi Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Hacettepe Üniversitesi,İnternet Programcılığı,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
İstanbul Üniversitesi,Genel Matematik,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Boğaziçi Üniversitesi,İnternet Programcılığı,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Yıldız Teknik Üniversitesi,Genel Matematik,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Yıldız Teknik Üniversitesi,Veri Madenciliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Ankara Üniversitesi,İnternet Programcılığı,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Boğaziçi Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
İstanbul Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Yıldız Teknik Üniversitesi,Siber Güvenlik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Sabancı Üniversitesi,Siber Güvenlik,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Koç Üniversitesi,Nesne Tabanlı Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Sabancı Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
İstanbul Üniversitesi,Veri Bilimi,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Ankara Üniversitesi,Sistem Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
İstanbul Üniversitesi,Kriptografi ve Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Koç Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Dokuz Eylül Üniversitesi,Veritabanı Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Koç Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
İstanbul Teknik Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
İstanbul Üniversitesi,Veritabanı Sistemleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Marmara Üniversitesi,Siber Güvenlik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Dokuz Eylül Üniversitesi,Yapay Zeka,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
İstanbul Teknik Üniversitesi,Web Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Hacettepe Üniversitesi,Siber Güvenlik,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Sabancı Üniversitesi,Veri Bilimi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Sabancı Üniversitesi,Sistem Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Marmara Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Marmara Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Ankara Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
İstanbul Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Koç Üniversitesi,Siber Güvenlik,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
İstanbul Üniversitesi,Veri Madenciliği,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Hacettepe Üniversitesi,Makine Ãğrenmesi,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Ankara Üniversitesi,Programlama Dilleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Hacettepe Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
İstanbul Teknik Üniversitesi,Makine Ãğrenmesi,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Yıldız Teknik Üniversitesi,Sistem Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
İstanbul Üniversitesi,Dijital Oyun Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Marmara Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Orta Doğu Teknik Üniversitesi,Genel Matematik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Boğaziçi Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Marmara Üniversitesi,Dijital Oyun Programlama,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Dokuz Eylül Üniversitesi,Yapay Zeka,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Ankara Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Koç Üniversitesi,İçerik Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Ankara Üniversitesi,Makine Ãğrenmesi,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Dokuz Eylül Üniversitesi,Kriptografi ve Veri Güvenliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Sabancı Üniversitesi,Web Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Marmara Üniversitesi,Sistem Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Sabancı Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Koç Üniversitesi,Veri Madenciliği,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Marmara Üniversitesi,Genel Matematik,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Sabancı Üniversitesi,Sistem Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Orta Doğu Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Sabancı Üniversitesi,Yapay Zeka,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Sabancı Üniversitesi,Veri Madenciliği,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
İstanbul Teknik Üniversitesi,Veritabanı Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Hacettepe Üniversitesi,Web Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Sabancı Üniversitesi,İçerik Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Marmara Üniversitesi,Dijital Oyun Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Marmara Üniversitesi,Veri Madenciliği,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Marmara Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Dokuz Eylül Üniversitesi,Web Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
İstanbul Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Dokuz Eylül Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Ankara Üniversitesi,Veritabanı Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Yıldız Teknik Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Ankara Üniversitesi,İnternet Programcılığı,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
