Üniversite Adı,Ders Adı,Ders Tanımı,Üniversite Adı_lemmatized,Üniversite Adı_stemmed,Ders Adı_lemmatized,Ders Adı_stemmed,Ders Tanımı_lemmatized,Ders Tanımı_stemmed
Yıldız Teknik Üniversitesi,Yapay Zeka,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",yıldız teknik üniversite,yıldız teknik üniversites,yapay zekâ,yapay zeka,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Hacettepe Üniversitesi,Web Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Hacettepe üniversite,hacettep üniversites,Web programlamak,web programla,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Ankara üniversite,ankar üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Yıldız Teknik Üniversitesi,Veritabanı Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",yıldız teknik üniversite,yıldız teknik üniversites,veritabanı sistem,veritaba sistem,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Yıldız Teknik Üniversitesi,Sistem Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",yıldız teknik üniversite,yıldız teknik üniversites,sistem programlamak,siste programla,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",saban üniversite,sabancı üniversites,nesne taban programlamak,nesne tabanlı programla,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Boğaziçi Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Boğaziçi üniversite,boğaziç üniversites,siber Güvenlik,siber güvenlik,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Hacettepe Üniversitesi,İnternet Programcılığı,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Hacettepe üniversite,hacettep üniversites,Unk program,i̇nternet programcılık,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",yıldız teknik üniversite,yıldız teknik üniversites,dijital oymak programlamak,dijital oy programla,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Unk teknik üniversite,i̇stanbul teknik üniversites,Unk Yönet sistem,i̇çerik yönet sistem,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
İstanbul Üniversitesi,Genel Matematik,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Unk üniversite,i̇stanbul üniversites,genel matematik,genel matematik,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",koçmak üniversite,koç üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",orta doğu teknik üniversite,or dok teknik üniversites,programlamak dil,programla dil,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",dokuz eylül üniversite,dok eylül üniversites,siber Güvenlik,siber güvenlik,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",dokuz eylül üniversite,dok eylül üniversites,nesne taban programlamak,nesne tabanlı programla,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Boğaziçi Üniversitesi,İnternet Programcılığı,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",Boğaziçi üniversite,boğaziç üniversites,Unk program,i̇nternet programcılık,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Yıldız Teknik Üniversitesi,Genel Matematik,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",yıldız teknik üniversite,yıldız teknik üniversites,genel matematik,genel matematik,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Unk teknik üniversite,i̇stanbul teknik üniversites,nesne taban programlamak,nesne tabanlı programla,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",saban üniversite,sabancı üniversites,nesne taban programlamak,nesne tabanlı programla,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Yıldız Teknik Üniversitesi,Veri Madenciliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",yıldız teknik üniversite,yıldız teknik üniversites,veri maden,ver madencilik,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Ankara Üniversitesi,İnternet Programcılığı,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Ankara üniversite,ankar üniversites,Unk program,i̇nternet programcılık,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",Boğaziçi üniversite,boğaziç üniversites,dijital oymak programlamak,dijital oy programla,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Boğaziçi Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",Boğaziçi üniversite,boğaziç üniversites,veri maden,ver madencilik,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
İstanbul Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Unk teknik üniversite,i̇stanbul teknik üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Yıldız Teknik Üniversitesi,Siber Güvenlik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",yıldız teknik üniversite,yıldız teknik üniversites,siber Güvenlik,siber güvenlik,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Sabancı Üniversitesi,Siber Güvenlik,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",saban üniversite,sabancı üniversites,siber Güvenlik,siber güvenlik,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Koç Üniversitesi,Nesne Tabanlı Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",koçmak üniversite,koç üniversites,nesne taban programlamak,nesne tabanlı programla,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Sabancı Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",saban üniversite,sabancı üniversites,veri bili,ver bil,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",saban üniversite,sabancı üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
İstanbul Üniversitesi,Veri Bilimi,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk üniversite,i̇stanbul üniversites,veri bili,ver bil,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Ankara Üniversitesi,Sistem Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Ankara üniversite,ankar üniversites,sistem programlamak,siste programla,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
İstanbul Üniversitesi,Kriptografi ve Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Unk üniversite,i̇stanbul üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Koç Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",koçmak üniversite,koç üniversites,sistem programlamak,siste programla,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Dokuz Eylül Üniversitesi,Veritabanı Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",dokuz eylül üniversite,dok eylül üniversites,veritabanı sistem,veritaba sistem,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",koçmak üniversite,koç üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",Unk teknik üniversite,i̇stanbul teknik üniversites,Unk program,i̇nternet programcılık,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",yıldız teknik üniversite,yıldız teknik üniversites,bilgisayar ağ,bilgisayar ak,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Koç Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",koçmak üniversite,koç üniversites,dijital oymak programlamak,dijital oy programla,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
İstanbul Teknik Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Unk teknik üniversite,i̇stanbul teknik üniversites,bilgisayar ağ,bilgisayar ak,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",Boğaziçi üniversite,boğaziç üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
İstanbul Üniversitesi,Veritabanı Sistemleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Unk üniversite,i̇stanbul üniversites,veritabanı sistem,veritaba sistem,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,yıldız teknik üniversite,yıldız teknik üniversites,veri taba Yönet sistem,ver taba yönet sistem,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",saban üniversite,sabancı üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",orta doğu teknik üniversite,or dok teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Marmara Üniversitesi,Siber Güvenlik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Marmara üniversite,marmar üniversites,siber Güvenlik,siber güvenlik,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Dokuz Eylül Üniversitesi,Yapay Zeka,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",dokuz eylül üniversite,dok eylül üniversites,yapay zekâ,yapay zeka,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",orta doğu teknik üniversite,or dok teknik üniversites,veri taba Yönet sistem,ver taba yönet sistem,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
İstanbul Teknik Üniversitesi,Web Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Unk teknik üniversite,i̇stanbul teknik üniversites,Web programlamak,web programla,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",Boğaziçi üniversite,boğaziç üniversites,veri taba Yönet sistem,ver taba yönet sistem,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Hacettepe Üniversitesi,Siber Güvenlik,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",Hacettepe üniversite,hacettep üniversites,siber Güvenlik,siber güvenlik,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Sabancı Üniversitesi,Veri Bilimi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",saban üniversite,sabancı üniversites,veri bili,ver bil,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",Hacettepe üniversite,hacettep üniversites,maki,mak,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Sabancı Üniversitesi,Sistem Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",saban üniversite,sabancı üniversites,sistem programlamak,siste programla,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Marmara Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",Marmara üniversite,marmar üniversites,dijital oymak programlamak,dijital oy programla,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Marmara Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Marmara üniversite,marmar üniversites,veri bili,ver bil,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Ankara Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",Ankara üniversite,ankar üniversites,Unk program,i̇nternet programcılık,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
İstanbul Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Unk üniversite,i̇stanbul üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Koç Üniversitesi,Siber Güvenlik,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",koçmak üniversite,koç üniversites,siber Güvenlik,siber güvenlik,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Hacettepe üniversite,hacettep üniversites,maki,mak,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",Unk teknik üniversite,i̇stanbul teknik üniversites,nesne taban programlamak,nesne tabanlı programla,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
İstanbul Üniversitesi,Veri Madenciliği,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk üniversite,i̇stanbul üniversites,veri maden,ver madencilik,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Hacettepe Üniversitesi,Makine Ãğrenmesi,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Hacettepe üniversite,hacettep üniversites,maki,mak,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Ankara Üniversitesi,Programlama Dilleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Ankara üniversite,ankar üniversites,programlamak dil,programla dil,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Hacettepe Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Hacettepe üniversite,hacettep üniversites,Web programlamak,web programla,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Boğaziçi üniversite,boğaziç üniversites,maki,mak,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
İstanbul Teknik Üniversitesi,Makine Ãğrenmesi,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Unk teknik üniversite,i̇stanbul teknik üniversites,maki,mak,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Yıldız Teknik Üniversitesi,Sistem Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",yıldız teknik üniversite,yıldız teknik üniversites,sistem programlamak,siste programla,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
İstanbul Üniversitesi,Dijital Oyun Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Unk üniversite,i̇stanbul üniversites,dijital oymak programlamak,dijital oy programla,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Marmara Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",Marmara üniversite,marmar üniversites,Unk program,i̇nternet programcılık,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",dokuz eylül üniversite,dok eylül üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Orta Doğu Teknik Üniversitesi,Genel Matematik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",orta doğu teknik üniversite,or dok teknik üniversites,genel matematik,genel matematik,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
