Üniversite Adı,Ders Adı,Ders Tanımı,lemmatized_text
Yıldız Teknik Üniversitesi,Veritabanı Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Yıldız Teknik Üniversitesi,Sistem Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Boğaziçi Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Hacettepe Üniversitesi,İnternet Programcılığı,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
İstanbul Üniversitesi,Genel Matematik,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Boğaziçi Üniversitesi,İnternet Programcılığı,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Yıldız Teknik Üniversitesi,Genel Matematik,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Yıldız Teknik Üniversitesi,Veri Madenciliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Ankara Üniversitesi,İnternet Programcılığı,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Boğaziçi Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
İstanbul Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Yıldız Teknik Üniversitesi,Siber Güvenlik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Sabancı Üniversitesi,Siber Güvenlik,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Koç Üniversitesi,Nesne Tabanlı Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Sabancı Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
İstanbul Üniversitesi,Veri Bilimi,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Ankara Üniversitesi,Sistem Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
İstanbul Üniversitesi,Kriptografi ve Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Koç Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Dokuz Eylül Üniversitesi,Veritabanı Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Koç Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
İstanbul Teknik Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
İstanbul Üniversitesi,Veritabanı Sistemleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Marmara Üniversitesi,Siber Güvenlik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Dokuz Eylül Üniversitesi,Yapay Zeka,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
İstanbul Teknik Üniversitesi,Web Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Hacettepe Üniversitesi,Siber Güvenlik,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Sabancı Üniversitesi,Veri Bilimi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Sabancı Üniversitesi,Sistem Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
Marmara Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Marmara Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Ankara Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
İstanbul Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Koç Üniversitesi,Siber Güvenlik,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
İstanbul Üniversitesi,Veri Madenciliği,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Hacettepe Üniversitesi,Makine Ãğrenmesi,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Ankara Üniversitesi,Programlama Dilleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Hacettepe Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
İstanbul Teknik Üniversitesi,Makine Ãğrenmesi,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Yıldız Teknik Üniversitesi,Sistem Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
İstanbul Üniversitesi,Dijital Oyun Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Marmara Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Orta Doğu Teknik Üniversitesi,Genel Matematik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Boğaziçi Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Marmara Üniversitesi,Dijital Oyun Programlama,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Dokuz Eylül Üniversitesi,Yapay Zeka,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Ankara Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Koç Üniversitesi,İçerik Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Ankara Üniversitesi,Makine Ãğrenmesi,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Dokuz Eylül Üniversitesi,Kriptografi ve Veri Güvenliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Sabancı Üniversitesi,Web Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Marmara Üniversitesi,Sistem Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Sabancı Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Koç Üniversitesi,Veri Madenciliği,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Marmara Üniversitesi,Genel Matematik,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Sabancı Üniversitesi,Sistem Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Orta Doğu Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Sabancı Üniversitesi,Yapay Zeka,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Sabancı Üniversitesi,Veri Madenciliği,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
İstanbul Teknik Üniversitesi,Veritabanı Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Hacettepe Üniversitesi,Web Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Sabancı Üniversitesi,İçerik Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Marmara Üniversitesi,Dijital Oyun Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Marmara Üniversitesi,Veri Madenciliği,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Marmara Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Dokuz Eylül Üniversitesi,Web Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
İstanbul Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Dokuz Eylül Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Ankara Üniversitesi,Veritabanı Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Yıldız Teknik Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Ankara Üniversitesi,İnternet Programcılığı,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Koç Üniversitesi,Yapay Zeka,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
İstanbul Üniversitesi,Bilgisayar Ağları,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Dokuz Eylül Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Marmara Üniversitesi,Veritabanı Sistemleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
